number,timeSent,sourceIP,destIP,protocol,length,info,danger
2231,126.8402895,192.168.1.129,192.168.1.141,ICMP,422,"Echo (ping) reply    id=0x0001, seq=555/11010, ttl=64 (request in 2186)",?
2278,127.8419087,192.168.1.141,192.168.1.129,ICMP,422,"Echo (ping) request  id=0x0001, seq=556/11266, ttl=128 (reply in 2323)",?
2323,127.8421376,192.168.1.129,192.168.1.141,ICMP,422,"Echo (ping) reply    id=0x0001, seq=556/11266, ttl=64 (request in 2278)",?
2384,129.7271324,192.168.1.141,192.168.1.129,ICMP,422,"Echo (ping) request  id=0x0001, seq=557/11522, ttl=128 (reply in 2429)",?
2429,129.7273547,192.168.1.129,192.168.1.141,ICMP,422,"Echo (ping) reply    id=0x0001, seq=557/11522, ttl=64 (request in 2384)",?
2476,130.7307765,192.168.1.141,192.168.1.129,ICMP,422,"Echo (ping) request  id=0x0001, seq=558/11778, ttl=128 (reply in 2521)",?
2521,130.730973,192.168.1.129,192.168.1.141,ICMP,422,"Echo (ping) reply    id=0x0001, seq=558/11778, ttl=64 (request in 2476)",?
2567,131.7327597,192.168.1.141,192.168.1.129,ICMP,422,"Echo (ping) request  id=0x0001, seq=559/12034, ttl=128 (reply in 2612)",?
2612,131.7329751,192.168.1.129,192.168.1.141,ICMP,422,"Echo (ping) reply    id=0x0001, seq=559/12034, ttl=64 (request in 2567)",?
2660,132.7347751,192.168.1.141,192.168.1.129,ICMP,422,"Echo (ping) request  id=0x0001, seq=560/12290, ttl=128 (reply in 2705)",?
2705,132.7351175,192.168.1.129,192.168.1.141,ICMP,422,"Echo (ping) reply    id=0x0001, seq=560/12290, ttl=64 (request in 2660)",?
